dataset,y_true,xgb_mean_prob,lr_mean_prob,cat_mean_prob,bias,ensemble_prob,selected_threshold,y_pred_threshold_opt
train,1,0.2429811656475067,0.309421620512276,0.0,0.0664404548647693,0.27620139307989133,0.16,1
train,0,0.24655646085739136,0.2543123527060607,0.0,0.007755891848669316,0.250434406781726,0.16,1
train,0,0.14101730287075043,0.04461724849975411,0.0,-0.09640005437099632,0.09281727568525228,0.16,0
train,0,0.24655646085739136,0.2491732870576875,0.0,0.0026168262002961296,0.24786487395753942,0.16,1
train,0,0.23698480427265167,0.3254334789450505,0.0,0.08844867467239881,0.2812091416088511,0.16,1
train,0,0.1392768919467926,0.07035839980033802,0.0,-0.06891849214645458,0.10481764587356532,0.16,0
train,0,0.25654336810112,0.34697149078329964,0.0,0.09042812268217965,0.30175742944220985,0.16,1
train,0,0.23698480427265167,0.31502872399905807,0.0,0.0780439197264064,0.2760067641358549,0.16,1
train,0,0.25654336810112,0.3300958626892853,0.0,0.07355249458816532,0.2933196153952027,0.16,1
train,1,0.23698480427265167,0.3087693854865436,0.0,0.07178458121389192,0.27287709487959766,0.16,1
train,0,0.1392768919467926,0.045807736178609365,0.0,-0.09346915576818324,0.09254231406270098,0.16,0
train,0,0.14101730287075043,0.03959207653686802,0.0,-0.1014252263338824,0.09030468970380923,0.16,0
train,0,0.2429811656475067,0.32394290835585804,0.0,0.08096174270835133,0.2834620370016824,0.16,1
train,0,0.2571200728416443,0.3333698969959486,0.0,0.07624982415430431,0.29524498491879647,0.16,1
train,0,0.14347858726978302,0.05808195718773843,0.0,-0.0853966300820446,0.10078027222876072,0.16,0
train,0,0.2333565056324005,0.21037056962520295,0.0,-0.02298593600719756,0.22186353762880173,0.16,1
train,0,0.1392768919467926,0.06889552086237426,0.0,-0.07038137108441835,0.10408620640458344,0.16,0
train,0,0.25271478295326233,0.2525193153217726,0.0,-0.0001954676314897541,0.2526170491375175,0.16,1
train,0,0.24259452521800995,0.2498859463686773,0.0,0.00729142115066736,0.24624023579334364,0.16,1
train,1,0.25654336810112,0.6636188706892566,0.0,0.40707550258813663,0.4600811193951883,0.16,1
train,0,0.2364388406276703,0.26027097345786265,0.0,0.023832132830192365,0.24835490704276647,0.16,1
train,0,0.2481546550989151,0.24093865643245238,0.0,-0.00721599866646272,0.24454665576568374,0.16,1
train,0,0.1392768919467926,0.07171498774451102,0.0,-0.06756190420228159,0.10549593984565181,0.16,0
train,0,0.14347858726978302,0.05680108255098207,0.0,-0.08667750471880095,0.10013983491038254,0.16,0
train,0,0.1392768919467926,0.05364898605045274,0.0,-0.08562790589633987,0.09646293899862267,0.16,0
train,0,0.2571200728416443,0.33852379237618513,0.0,0.08140371953454084,0.2978219326089147,0.16,1
train,0,0.1392768919467926,0.04544411707216306,0.0,-0.09383277487462954,0.09236050450947783,0.16,0
train,0,0.1392768919467926,0.05775900147522319,0.0,-0.0815178904715694,0.0985179467110079,0.16,0
train,0,0.1392768919467926,0.06841418557163205,0.0,-0.07086270637516055,0.10384553875921232,0.16,0
train,0,0.24579183757305145,0.305937918991528,0.0,0.06014608141847655,0.2758648782822897,0.16,1
train,0,0.242039754986763,0.21338100537609467,0.0,-0.028658749610668333,0.22771038018142883,0.16,1
train,1,0.25032296776771545,0.760133297931401,0.0,0.5098103301636856,0.5052281328495583,0.16,1
train,1,0.2634499967098236,0.31913529459829987,0.0,0.05568529788847626,0.29129264565406177,0.16,1
train,0,0.14101730287075043,0.04428229140495095,0.0,-0.09673501146579948,0.09264979713785068,0.16,0
train,0,0.23281635344028473,0.20269622601456572,0.0,-0.030120127425719012,0.21775628972742522,0.16,1
train,0,0.14101730287075043,0.04461724849975411,0.0,-0.09640005437099632,0.09281727568525228,0.16,0
train,0,0.2634499967098236,0.331081970291745,0.0,0.06763197358192141,0.2972659835007843,0.16,1
train,1,0.2571200728416443,0.3274327428248589,0.0,0.07031266998321462,0.2922764078332516,0.16,1
train,0,0.2333565056324005,0.21421594227427415,0.0,-0.01914056335812636,0.22378622395333733,0.16,1
train,0,0.25876328349113464,0.31734867527137667,0.0,0.058585391780242024,0.28805597938125566,0.16,1
train,0,0.25876328349113464,0.3237909332148229,0.0,0.06502764972368824,0.29127710835297876,0.16,1
train,0,0.2634499967098236,0.358736625508628,0.0,0.0952866287988044,0.3110933111092258,0.16,1
train,0,0.1392768919467926,0.07866686401215496,0.0,-0.06061002793463764,0.10897187797947377,0.16,0
